aethernet-fastapi  | INFO:     Started server process [1]
aethernet-fastapi  | INFO:     192.168.1.7:52430 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:52432 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.7:52448 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi  | INFO:     192.168.1.23:53047 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-fastapi  | INFO:     192.168.1.23:53048 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-fastapi  | INFO:     192.168.1.23:53049 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-fastapi  | INFO:     192.168.1.14:48256 - "GET /health HTTP/1.1" 200 OK
aethernet-mosquitto  | chown: /mosquitto/config/mosquitto.conf: Read-only file system
aethernet-mosquitto  | chown: /mosquitto/config/acl.conf: Read-only file system
aethernet-mosquitto  | 1789137409: Note: It is recommended to replace `message_size_limit` with `max_packet_size`.
aethernet-mosquitto  | 2026-09-11T14:36:49: mosquitto version 2.0.22 starting
aethernet-mosquitto  | 2026-09-11T14:36:49: Config loaded from /mosquitto/config/mosquitto.conf.
aethernet-mosquitto  | 2026-09-11T14:36:49: Warning: File /mosquitto/config/acl.conf has world readable permissions. Future versions will refuse to load this file.
aethernet-mosquitto  | To fix this, use `chmod 0700 /mosquitto/config/acl.conf`.
aethernet-mosquitto  | 2026-09-11T14:36:49: Warning: File /mosquitto/config/acl.conf owner is not mosquitto. Future versions will refuse to load this file.To fix this, use `chown mosquitto /mosquitto/config/acl.conf`.
aethernet-mosquitto  | 2026-09-11T14:36:49: Warning: File /mosquitto/config/acl.conf group is not mosquitto. Future versions will refuse to load this file.
aethernet-mosquitto  | 2026-09-11T14:36:49: Opening ipv4 listen socket on port 1883.
aethernet-mosquitto  | 2026-09-11T14:36:49: Opening ipv6 listen socket on port 1883.
aethernet-mosquitto  | 2026-09-11T14:36:49: Opening websockets listen socket on port 9001.
aethernet-mosquitto  | 2026-09-11T14:36:49: mosquitto version 2.0.22 running
aethernet-mosquitto  | 2026-09-11T14:36:49: New connection from 192.168.1.23:60052 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:36:49: New client connected from 192.168.1.23:60052 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:38:01: New connection from 192.168.1.14:59168 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:38:01: New client connected from 192.168.1.14:59168 as auto-D55F5DAD-03CA-987C-C173-C925C9C0E322 (p2, c1, k60).
aethernet-mosquitto  | 2026-09-11T14:39:00: New connection from 192.168.1.23:53807 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:39:00: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T14:39:00: New client connected from 192.168.1.23:53807 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:39:45: New connection from 192.168.1.23:59686 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:39:45: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T14:39:45: New client connected from 192.168.1.23:59686 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:41:23: New connection from 192.168.1.7:55962 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:41:23: New client connected from 192.168.1.7:55962 as aethernet-app-90d9dc4e (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:42:11: Client aethernet-app-90d9dc4e closed its connection.
