
=== AetherNet Rover UNO Starting ===
nRF24L01 initialized
Rover ready - awaiting commands
RF RX: L=-255 R=-243 mode=1
RF RX: L=-255 R=-240 mode=1
RF RX: L=-255 R=-240 mode=1
RF RX: L=-255 R=-242 mode=1
RF RX: L=-255 R=-243 mode=1
RF RX: L=-255 R=-243 mode=1
RF RX: L=-255 R=-243 mode=1
RF RX: L=-255 R=-243 mode=1
RF RX: L=-255 R=-244 mode=1
RF RX: L=-255 R=-245 mode=1
RF RX: L=-255 R=-245 mode=1
RF RX: L=-255 R=-246 mode=1
RF RX: L=-255 R=-248 mode=1
RF RX: L=-255 R=-249 mode=1
RF RX: L=-255 R=-250 mode=1
RF RX: L=-255 R=-251 mode=1
RF RX: L=-255 R=-252 mode=1
RF RX: L=-255 R=-252 mode=1
RF RX: L=-255 R=-253 mode=1
RF RX: L=-255 R=-254 mode=1
RF RX: L=-255 R=-254 mode=1
RF RX: L=-254 R=-255 mode=1
RF RX: L=-254 R=-255 mode=1
RF RX: L=-254 R=-255 mode=1
RF RX: L=-254 R=-255 mode=1
RF RX: L=-254 R=-255 mode=1
RF RX: L=-253 R=-255 mode=1
RF RX: L=-251 R=-255 mode=1
RF RX: L=-250 R=-255 mode=1
RF RX: L=-250 R=-255 mode=1
RF RX: L=-250 R=-255 mode=1
RF RX: L=-249 R=-255 mode=1
RF RX: L=-248 R=-255 mode=1
RF RX: L=-247 R=-255 mode=1
RF RX: L=-246 R=-255 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-246 R=-255 mode=1
RF RX: L=-246 R=-255 mode=1
RF RX: L=-245 R=-255 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-244 R=-255 mode=1
RF RX: L=-243 R=-255 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-242 R=-255 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-242 R=-255 mode=1
RF RX: L=-242 R=-255 mode=1
RF RX: L=-241 R=-255 mode=1
RF RX: L=-242 R=-255 mode=1
RF RX: L=-246 R=-255 mode=1
RF RX: L=-255 R=-252 mode=1
RF RX: L=-255 R=-117 mode=1
RF RX: L=-255 R=0 mode=1
RF RX: L=-255 R=85 mode=1
RF RX: L=-255 R=146 mode=1
RF RX: L=-255 R=178 mode=1
RF RX: L=-255 R=198 mode=1
RF RX: L=-255 R=215 mode=1
RF RX: L=-255 R=227 mode=1
RF RX: L=-255 R=238 mode=1
RF RX: L=-255 R=247 mode=1
RF RX: L=-255 R=253 mode=1
RF RX: L=-253 R=255 mode=1
RF RX: L=-250 R=255 mode=1
RF RX: L=-250 R=255 mode=1
RF RX: L=-253 R=255 mode=1
RF RX: L=-255 R=255 mode=1
RF RX: L=-255 R=254 mode=1
RF RX: L=-255 R=254 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-255 R=253 mode=1
RF RX: L=-255 R=252 mode=1
RF RX: L=-255 R=251 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-255 R=250 mode=1
RF RX: L=-255 R=249 mode=1
RF RX: L=-255 R=249 mode=1
RF RX: L=-255 R=249 mode=1
RF RX: L=-255 R=249 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-255 R=248 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-255 R=247 mode=1
RF RX: L=-255 R=246 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=-255 R=245 mode=1
RF RX: L=-255 R=245 mode=1
RF RX: L=-255 R=244 mode=1
RF RX: L=-255 R=243 mode=1
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
RF RX: L=0 R=0 mode=0
!!! FAIL-SAFE ACTIVATED: No RF signal !!!
